	Oke_APOB-60	Oke_ccd16-77	Oke_CO1A1-72	Oke_DBLOH-79	Oke_FANK1-96	Oke_gdh1-62	Oke_hmgb1-66	Oke_HP-182	Oke_hsc71-199	Oke_lactb2-71	Oke_mgll-49	Oke_nc2b-148	Oke_NHERF-123	Oke_NHERF-54	Oke_NUPR1-70	Oke_PDIA3-82	Oke_pnrc2-78	Oke_sylc-90	Oke_TCP1-78	Oke_TCTA-99	Oke_thic-84	Oke_txnrd1-74	Oke_u0602-244	Oke_U1008-83	Oke_U1012-241	Oke_U1012-60	Oke_U1016-154	Oke_U1021-102	Oke_U1027-89	Oke_U2001-629	Oke_U2005-62	Oke_U2020-51	Oke_U2024-93	Oke_U2034-55	Oke_U2037-76	Oke_U2040-77	Oke_U2042-61	Oke_U2045-43	Oke_U2048-91	Oke_U2054-58	Oke_u217-172	Oke_U305-130	Oke_U504-228	Oke_U505-112	Oke_U507-87	Oke_U510-204	Oke_zn593-152	
CMUW10X08H_0035	XX	YY	XX	YY	YY	XX	YY	XX	XX	XX	XX	YY	XX	YY	XX	XX	XX	XX	YY	YY	XX	XX	YY	YY	XX	YY	YY	YY	No Call	No Call	XX	XX	XX	YY	YY	YY	YY	YY	YY	XX	YY	No Call	YY	XX	YY	XX	XX	YY
CMUW10X08H_0043	YY	YY	YY	XX	YY	XX	XX	XX	XX	XX	YY	XX	XX	YY	XX	YY	YY	YY	XX	YY	XX	XX	XX	YY	YY	XX	XX	YY	No Call	No Call	YY	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	No Call	XX	XX	XX	YY	XX	YY
CMUW10X08H_0045	XX	YY	XX	XX	YY	YY	No Call	YY	YY	XX	XX	XX	No Call	No Call	XX	No Call	YY	XX	YY	YY	XX	No Call	XX	XX	XX	YY	YY	YY	No Call	No Call	XX	YY	XX	XX	YY	XX	YY	YY	YY	XX	YY	No Call	YY	YY	YY	XX	XX	No Call
CMUW10X08H_0048	YY	XX	XX	YY	XX	YY	YY	XX	XX	YY	YY	YY	YY	XX	YY	YY	XX	YY	YY	YY	XX	YY	YY	XX	XX	YY	YY	YY	No Call	No Call	XX	XX	YY	YY	XX	YY	XX	YY	XX	XX	XX	No Call	YY	YY	XX	XX	YY	YY
CMUW10X08H_0058	YY	YY	YY	XX	YY	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	YY	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	No Call	No Call	XX	XX	YY	YY	YY	XX	XX	YY	YY	YY	XX	No Call	YY	YY	XX	YY	XX	YY
CMUW10X08H_0060	YY	YY	YY	XX	YY	XX	XX	XX	YY	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	YY	YY	XX	YY	YY	XX	XX	XX	No Call	No Call	YY	XX	XX	YY	YY	XX	XX	XX	YY	YY	XX	No Call	YY	YY	XX	YY	YY	YY
CMUW10X08H_0067	XX	YY	XX	XX	YY	XX	XX	YY	XX	XX	XX	XX	YY	XX	XX	YY	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	XX	YY	No Call	No Call	XX	YY	YY	YY	XX	XX	YY	YY	YY	YY	XX	No Call	XX	XX	YY	YY	XX	No Call
CMUW10X08H_0073	YY	XX	YY	XX	XX	XX	XX	YY	XX	YY	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	No Call	XX	XX	YY	YY	XX	YY	XX	No Call	No Call	YY	YY	XX	XX	XX	YY	XX	XX	XX	XX	XX	No Call	YY	XX	YY	XX	YY	YY
CMUW10X08H_0046	YY	XX	XX	XX	XX	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	XX	XX	XX	YY	YY	YY	XX	XX	YY	XX	XX	YY	No Call	No Call	YY	YY	XX	YY	YY	YY	XX	XX	XX	YY	XX	No Call	XX	YY	XX	YY	YY	No Call
CMUW10X08H_0053	YY	YY	XX	XX	XX	YY	XX	XX	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	YY	XX	XX	XX	YY	XX	YY	No Call	No Call	YY	XX	YY	YX	XX	XX	XX	XX	YY	YY	XX	No Call	XX	YY	YY	YY	XX	YY
CMUW10X08H_0059	YY	YY	YY	XX	XX	YY	XX	XX	XX	XX	XX	XX	YY	XX	XX	XX	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	XX	XX	No Call	No Call	XX	XX	YY	XX	XX	XX	XX	YY	YY	YY	XX	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0062	XX	XX	YY	XX	XX	YY	XX	XX	XX	XX	XX	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	XX	XX	YY	XX	XX	YY	No Call	No Call	YY	XX	XX	XX	YY	XX	YY	XX	XX	YY	XX	No Call	YY	XX	YY	YY	XX	No Call
CMUW10X08H_0070	XX	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	YY	XX	XX	YY	XX	XX	XX	No Call	No Call	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	No Call	YY	YY	YY	YY	YY	YY
CMUW10X08H_0074	XX	XX	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	XX	YY	YY	YY	XX	XX	YY	XX	XX	YY	XX	YY	No Call	No Call	XX	XX	YY	XX	XX	XX	YY	YY	XX	YY	XX	No Call	XX	YY	YY	YY	XX	YY
CMUW10X08H_0075	XX	XX	YY	YY	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	YY	XX	YY	XX	YY	XX	No Call	No Call	XX	YY	XX	XX	YY	XX	YY	YY	XX	XX	YY	No Call	YY	YY	YY	YY	YY	No Call
CMUW10X08H_0077	YY	YY	YY	YY	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	No Call	No Call	YY	YY	YY	XX	XX	XX	XX	XX	YY	YY	XX	No Call	XX	XX	XX	YY	YY	YY
CMUW10X08H_0086	XX	YY	YY	YY	YY	XX	YY	XX	XX	XX	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	No Call	No Call	YY	YY	YY	YY	XX	XX	YY	XX	YY	XX	YY	No Call	YY	XX	XX	XX	YY	YY
CMUW10X08H_0090	XX	YY	XX	XX	XX	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	YY	YY	XX	No Call	No Call	XX	YY	YY	XX	XX	XX	YY	YY	YY	XX	XX	No Call	XX	YY	YY	XX	XX	YY
CMUW10X08H_0076	YY	YY	XX	YY	YY	XX	YY	XX	XX	XX	YY	YY	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	YY	YY	XX	YY	XX	YY	No Call	No Call	XX	XX	XX	XX	XX	XX	XX	YY	YY	YY	YY	No Call	XX	XX	XX	XX	YY	No Call
CMUW10X08H_0079	XX	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	YY	YY	YY	YY	XX	XX	YY	XX	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0089	XX	YY	XX	YY	YY	XX	XX	YY	XX	XX	XX	YY	YY	XX	XX	XX	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	YY	YY	YY	XX	XX	YY	YY	YY	YY	YY	No Call	YY	XX	XX	YY	XX	YY
CMUW10X08H_0121	YY	YY	YY	YY	YY	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	YY	YY	XX	YY	XX	XX	YY	YY	XX	No Call	XX	XX	XX	YY	YY	YY
CMUW10X08H_0123	XX	YY	YY	XX	XX	XX	XX	YY	XX	YY	XX	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	XX	XX	No Call	No Call	YY	XX	XX	XX	XX	XX	YY	XX	YY	YY	XX	No Call	XX	YY	YY	YY	XX	YX
CMUW10X08H_0125	XX	YY	YY	YY	XX	YY	YY	XX	XX	XX	XX	YY	YY	XX	YY	YY	YY	YY	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	XX	XX	YY	YY	YY	XX	YY	YY	XX	No Call	XX	XX	YY	YY	XX	No Call
CMUW10X08H_0127	XX	YY	YY	XX	XX	YY	XX	YY	XX	XX	YY	YY	YY	XX	YY	XX	XX	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	No Call	No Call	XX	XX	XX	No Call	XX	XX	YY	YY	YY	YY	YY	No Call	XX	YY	YY	XX	XX	YY
CMUW10X08H_0129	XX	YY	XX	XX	XX	XX	XX	XX	YY	YY	YY	YY	XX	YY	YY	YY	XX	XX	XX	YY	YY	YY	XX	XX	YY	XX	YY	YY	No Call	No Call	YY	XX	XX	YY	YY	YY	YY	XX	YY	XX	XX	No Call	XX	YY	YY	XX	XX	YX
CMUW10X08H_0131	XX	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	YY	YY	YY	YY	XX	YY	YY	YY	XX	XX	XX	No Call	No Call	YY	XX	XX	YY	XX	YY	YY	XX	YY	YY	XX	No Call	YY	YY	YY	XX	YY	No Call
CMUW10X08H_0122	YY	XX	YY	XX	XX	XX	XX	XX	YY	YY	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	YY	No Call	No Call	XX	XX	YY	XX	XX	XX	XX	YY	XX	XX	XX	No Call	YY	XX	YY	XX	XX	YX
CMUW10X08H_0124	XX	XX	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	YY	XX	YY	YY	YY	YY	XX	YY	XX	XX	XX	XX	XX	YY	XX	YY	No Call	No Call	XX	XX	YY	YY	YY	YY	YY	XX	XX	YY	YY	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0126	YY	XX	YY	YY	XX	XX	YY	YY	XX	YY	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	YY	YY	No Call	No Call	XX	YY	XX	YY	XX	XX	XX	XX	XX	XX	XX	No Call	YY	XX	XX	XX	XX	YX
CMUW10X08H_0128	XX	XX	YY	YY	YY	XX	YY	XX	YY	YY	XX	YY	YY	XX	XX	XX	XX	XX	XX	YY	YY	XX	YY	XX	YY	XX	XX	YY	No Call	No Call	XX	YY	XX	XX	XX	XX	YY	YY	XX	YY	YY	No Call	XX	XX	XX	YY	XX	YX
CMUW10X08H_0130	XX	YY	XX	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	YY	YY	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	XX	XX	XX	YY	YY	XX	YY	YY	YY	No Call	YY	YY	XX	YY	YY	No Call
CMUW10X08H_0132	YY	YY	YY	XX	YY	XX	XX	YY	YY	XX	XX	XX	XX	YY	YY	YY	XX	XX	XX	YY	YY	XX	XX	XX	YY	XX	XX	YY	No Call	No Call	XX	XX	YY	YY	YY	YY	XX	YY	YY	YY	YY	No Call	YY	YY	YY	YY	YY	No Call
CMUW10X08H_0133	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	XX	XX	YY	YY	YY	YY	XX	YY	YY	XX	YY	YY	YY	No Call	No Call	YY	YY	XX	XX	XX	YY	XX	XX	XX	XX	XX	No Call	XX	YY	YY	XX	YY	YX
CMUW10X08H_0135	YY	YY	YY	XX	YY	YY	XX	YY	YY	XX	XX	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	YY	XX	XX	YY	XX	YY	YY	No Call	No Call	XX	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	No Call	XX	YY	YY	XX	YY	YX
CMUW10X08H_0137	XX	YY	XX	XX	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	YY	XX	No Call	No Call	YY	XX	XX	YY	XX	XX	YY	XX	YY	XX	XX	No Call	XX	XX	YY	XX	YY	YX
CMUW10X08H_0139	XX	YY	YY	XX	XX	XX	YY	XX	XX	XX	XX	YY	YY	XX	XX	YY	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	XX	YY	No Call	No Call	XX	YY	YY	YY	XX	XX	YY	YY	YY	YY	XX	No Call	XX	YY	XX	XX	XX	YX
CMUW10X08H_0141	YY	XX	XX	XX	XX	XX	XX	XX	XX	YY	XX	YY	XX	YY	YY	XX	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	YY	XX	No Call	No Call	XX	XX	YY	YY	YY	XX	XX	YY	XX	XX	XX	No Call	XX	XX	YY	XX	YY	YY
CMUW10X08H_0143	XX	YY	YY	XX	XX	XX	XX	YY	XX	XX	XX	YY	YY	XX	XX	YY	YY	YY	XX	YY	YY	YY	XX	XX	XX	YY	XX	YY	No Call	No Call	YY	YY	XX	XX	YY	XX	YY	XX	YY	YY	YY	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0134	XX	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	YX	XX	YY	YY	No Call	XX	XX	YY	YY	YY	YY	YY	XX	XX	YY	YY	YY	No Call	No Call	XX	YY	XX	YY	XX	YY	YY	YY	YY	XX	XX	No Call	XX	YY	XX	XX	YY	YY
CMUW10X08H_0136	XX	YY	XX	YY	YY	XX	YY	YY	XX	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	YY	YY	XX	YY	XX	XX	YY	No Call	No Call	XX	XX	YY	XX	YY	YY	YY	YY	YY	YY	XX	No Call	YY	YY	YY	YY	XX	YX
CMUW10X08H_0138	XX	XX	YY	YY	XX	XX	YY	YY	XX	YY	XX	XX	XX	YY	XX	XX	XX	YY	XX	YY	XX	YY	YY	YY	XX	YY	YY	YY	No Call	No Call	XX	XX	YY	YY	YY	XX	YY	YY	XX	XX	YY	No Call	YY	YY	YY	YY	YY	YY
CMUW10X08H_0140	XX	YY	XX	YY	YY	XX	YY	YY	YY	YY	XX	XX	YY	XX	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	YY	YY	YY	No Call	No Call	XX	YY	XX	XX	YY	XX	YY	YY	YY	XX	XX	No Call	XX	YY	XX	YY	YY	YY
CMUW10X08H_0142	YY	YY	YY	YY	XX	YY	YY	YY	XX	YY	XX	XX	YY	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	YY	XX	No Call	No Call	YY	XX	XX	XX	XX	YY	YY	XX	YY	XX	YY	No Call	YY	XX	YY	XX	XX	YX
CMUW10X08H_0144	YY	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	XX	No Call	No Call	XX	YY	YY	YY	XX	XX	XX	YY	YY	XX	YY	No Call	XX	XX	YY	XX	XX	No Call
CMUW10X08H_0145	XX	YY	XX	YY	YY	XX	YY	YY	XX	XX	YY	YY	YY	XX	YY	YY	YY	YY	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	No Call	No Call	YY	XX	XX	YY	YY	YY	YY	XX	YY	XX	YY	No Call	XX	YY	XX	XX	XX	YX
CMUW10X08H_0147	XX	YY	YY	YY	YY	XX	YY	YY	YY	YY	YY	YY	XX	YY	XX	XX	XX	XX	YY	YY	YY	XX	YY	XX	XX	YY	XX	XX	No Call	No Call	XX	XX	XX	YY	YY	XX	YY	YY	YY	YY	YY	No Call	XX	YY	YY	XX	YY	YY
CMUW10X08H_0150	YY	XX	XX	XX	XX	YY	XX	XX	XX	YY	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	XX	XX	YY	YY	XX	XX	XX	No Call	No Call	XX	XX	YY	XX	XX	XX	XX	YY	XX	YY	XX	No Call	XX	XX	XX	YY	YY	YY
CMUW10X08H_0153	YY	YY	YY	XX	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	YY	XX	YY	YY	YY	YY	YY	YY	XX	YY	XX	YY	XX	XX	No Call	No Call	XX	XX	XX	XX	XX	YY	XX	YY	YY	YY	YY	No Call	XX	XX	XX	YY	YY	YY
CMUW10X08H_0155	XX	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	XX	XX	XX	XX	YY	YY	YY	XX	XX	YY	XX	YY	YY	No Call	No Call	XX	XX	XX	XX	YY	YY	YY	XX	YY	XX	XX	No Call	XX	XX	XX	XX	XX	No Call
CMUW10X08H_0157	YY	YY	YY	XX	XX	XX	XX	XX	YY	YY	YY	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	YY	XX	XX	XX	YY	YX	YY	No Call	No Call	YY	YY	YY	XX	YY	XX	XX	XX	YY	YY	YY	No Call	XX	YY	YY	No Call	XX	YY
CMUW10X08H_0146	YY	YY	XX	XX	XX	YY	XX	XX	XX	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	XX	No Call	No Call	YY	XX	XX	XX	YY	XX	XX	XX	YY	YY	YY	No Call	XX	XX	YY	YY	YY	YY
CMUW10X08H_0148	YY	XX	XX	XX	XX	YY	XX	YY	XX	YY	XX	YY	YY	XX	YY	YY	YY	YY	YY	YY	YY	YY	XX	YY	YY	XX	XX	XX	No Call	No Call	YY	XX	XX	XX	XX	YY	XX	XX	XX	YY	YY	No Call	YY	YY	XX	YY	YY	YY
CMUW10X08H_0152	YY	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	XX	XX	YY	XX	YY	XX	YY	No Call	No Call	XX	YY	YY	XX	XX	YY	XX	YY	YY	YY	XX	No Call	YY	YY	YY	YY	YY	YY
CMUW10X08H_0154	XX	XX	XX	XX	YY	XX	XX	XX	XX	YY	XX	XX	YY	XX	YY	YY	XX	YY	YY	YY	XX	XX	XX	XX	XX	YY	XX	YY	No Call	No Call	XX	YY	XX	XX	XX	YY	YY	YY	XX	YY	YY	No Call	XX	YY	YY	YY	XX	YX
CMUW10X08H_0156	YY	YY	XX	XX	XX	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	XX	XX	YY	YY	YY	YY	YY	XX	XX	XX	YY	YY	YY	No Call	No Call	XX	YY	XX	YY	YY	YY	XX	YY	YY	XX	XX	No Call	XX	YY	YY	XX	YY	No Call
CMUW10X08H_0158	YY	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	XX	YY	YY	YY	YY	YY	YY	YY	YY	YY	YY	YY	YY	XX	YY	YY	No Call	No Call	XX	YY	XX	YY	XX	XX	XX	YY	XX	XX	XX	No Call	YY	XX	YY	YY	XX	YX
CMUW10X08H_0159	XX	YY	YY	XX	YY	YY	XX	XX	YY	XX	XX	YY	YY	XX	XX	YY	XX	XX	XX	YY	XX	YY	XX	XX	XX	YY	YY	YY	No Call	No Call	YY	XX	YY	XX	YY	XX	XX	YY	YY	XX	XX	No Call	YY	YY	YY	XX	YY	No Call
CMUW10X08H_0161	YY	XX	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	XX	YY	YY	XX	XX	YY	XX	YY	YY	YY	XX	YY	XX	YY	YY	YY	No Call	No Call	YY	XX	YY	XX	XX	YY	XX	XX	XX	XX	YY	No Call	XX	YY	YY	XX	YY	YY
CMUW10X08H_0163	YY	XX	XX	YY	YY	YY	YY	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	XX	XX	YY	XX	XX	YY	XX	YY	XX	XX	XX	No Call	No Call	YY	XX	YY	YY	YY	XX	XX	XX	YY	YY	XX	No Call	XX	XX	YY	YY	XX	YY
CMUW10X08H_0165	XX	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	YY	XX	YY	XX	XX	YY	XX	XX	YY	YY	XX	YY	XX	YY	XX	YY	YY	No Call	No Call	YY	XX	XX	YY	XX	XX	YY	XX	XX	XX	YY	No Call	YY	YY	YY	XX	XX	YY
CMUW10X08H_0167	XX	YY	YY	XX	YY	XX	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	YY	XX	YY	XX	YY	XX	XX	No Call	No Call	YY	YY	XX	XX	YY	YY	YY	XX	YY	YY	YY	No Call	XX	XX	XX	XX	XX	YY
CMUW10X08H_0169	YY	YY	YY	YY	YY	XX	YY	YY	YY	XX	YY	YY	XX	YY	XX	XX	YY	XX	XX	YY	XX	YY	YY	YY	XX	YY	YY	XX	No Call	No Call	YY	YY	YY	XX	YY	XX	XX	XX	YY	XX	YY	No Call	YY	XX	YY	XX	YY	YY
CMUW10X08H_0160	XX	YY	YY	XX	YY	XX	XX	XX	XX	XX	YY	YY	YY	XX	YY	YY	XX	XX	XX	YY	YY	XX	XX	YY	XX	YY	YY	YY	No Call	No Call	YY	YY	YY	XX	XX	YY	YY	XX	YY	XX	XX	No Call	XX	YY	YY	XX	XX	YX
CMUW10X08H_0162	XX	YY	XX	XX	XX	XX	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	YY	XX	YY	YY	XX	XX	YY	YY	XX	YY	YY	No Call	No Call	YY	XX	YY	YY	YY	YY	YY	XX	YY	XX	YY	No Call	XX	YY	YY	XX	YY	YY
CMUW10X08H_0164	YY	YY	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	YY	XX	YY	YY	XX	XX	YY	YY	YY	XX	XX	YY	YY	XX	XX	YY	No Call	No Call	XX	XX	XX	YY	XX	XX	XX	YY	YY	YY	XX	No Call	XX	XX	XX	YY	YY	YY
CMUW10X08H_0166	YY	XX	XX	YY	XX	XX	YY	YY	YY	YY	XX	XX	YY	XX	XX	XX	XX	YY	XX	YY	XX	YY	YY	XX	XX	YY	YY	XX	No Call	No Call	YY	XX	YY	YY	XX	XX	XX	XX	XX	XX	XX	No Call	YY	YY	YY	XX	XX	YY
CMUW10X08H_0168	XX	YY	YY	YY	XX	XX	XX	YY	YY	XX	XX	XX	YY	XX	XX	XX	XX	XX	XX	YY	YY	YY	YY	YY	XX	YY	YY	YY	No Call	No Call	XX	XX	XX	XX	XX	XX	YY	YY	YY	XX	XX	No Call	XX	XX	XX	XX	XX	No Call
CMUW10X08H_0170	YY	XX	YY	YY	YY	XX	YY	YY	XX	YY	YY	XX	YY	XX	XX	XX	YY	YY	XX	YY	YY	YY	YY	YY	XX	YY	YY	XX	No Call	No Call	YY	XX	YY	XX	XX	XX	XX	XX	XX	XX	XX	No Call	XX	XX	XX	XX	XX	YY
CMUW10X08H_0171	YY	XX	YY	YY	XX	YY	YY	XX	XX	YY	XX	YY	XX	YY	XX	XX	XX	YY	YY	YY	YY	YY	YY	YY	XX	YY	XX	YY	No Call	No Call	XX	XX	XX	YY	YY	XX	XX	YY	XX	YY	XX	No Call	YY	YY	XX	XX	XX	No Call
CMUW10X08H_0172	YY	YY	XX	YY	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	YY	YY	YY	XX	XX	YY	YY	YY	YY	XX	XX	YY	YY	XX	No Call	No Call	XX	YY	XX	XX	YY	YY	XX	YY	YY	XX	YY	No Call	YY	YY	XX	YY	YY	YY
